image_id,file_name,split,scene_type,viewpoint,has_target,target_count,background_type,privacy_checked
train__2026-05-07 151551_717d7298,images/train/2026-05-07 151551_717d7298.jpg,train,normal_water,high_angle_imaging,true,5,not_applicable,true
train__2026-05-07 151553_c05ac919,images/train/2026-05-07 151553_c05ac919.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,15,not_applicable,true
train__2026-05-07 151554_6f591587,images/train/2026-05-07 151554_6f591587.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,1,not_applicable,true
train__2026-05-07 151555_485bddb5,images/train/2026-05-07 151555_485bddb5.jpg,train,normal_water,high_angle_imaging,true,6,not_applicable,true
train__2026-05-07 151557_26f88857,images/train/2026-05-07 151557_26f88857.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,6,not_applicable,true
train__2026-05-07 151602_62c706d5,images/train/2026-05-07 151602_62c706d5.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,3,not_applicable,true
train__2026-05-07 151603_5fb1f306,images/train/2026-05-07 151603_5fb1f306.jpg,train,normal_water,high_angle_imaging,true,2,not_applicable,true
train__2026-05-07 151606_26e43d09,images/train/2026-05-07 151606_26e43d09.jpg,train,normal_water,high_angle_imaging,true,4,not_applicable,true
train__2026-05-07 151614_83363394,images/train/2026-05-07 151614_83363394.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,3,not_applicable,true
train__2026-05-07 151618_8910f430,images/train/2026-05-07 151618_8910f430.jpg,train,dense_aquatic_vegetation,high_angle_imaging,true,4,not_applicable,true
train__2026-05-07 151621_3fb04d6e,images/train/2026-05-07 151621_3fb04d6e.jpg,train,complex_bank_side_background,bank_side_oblique,true,2,not_applicable,true
train__8333f4bfe31bb625b94c2038c8cde984_eef314fc,images/train/8333f4bfe31bb625b94c2038c8cde984_eef314fc.jpg,train,normal_water,high_angle_imaging,true,6,not_applicable,true
train__IMG_20260418_121242_b00c5937,images/train/IMG_20260418_121242_b00c5937.jpg,train,complex_bank_side_background,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_121433_995c53ae,images/train/IMG_20260418_121433_995c53ae.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
train__IMG_20260418_153043_f068107e,images/train/IMG_20260418_153043_f068107e.jpg,train,normal_water,bank_side_oblique,true,1,not_applicable,true
