epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0679,1.76223,4.80055,1.23729,0.00286,0.27006,0.04152,0.02284,1.39241,4.3297,1.08909,0.000363948,0.000363948,0.000363948
2,30.4748,1.70941,3.96783,1.2178,0.38865,0.11332,0.10265,0.05786,1.50193,3.39241,1.18136,0.000731858,0.000731858,0.000731858
3,45.6894,1.72662,3.32558,1.22788,0.11108,0.2024,0.11127,0.06193,1.59632,3.04888,1.26837,0.00109732,0.00109732,0.00109732
4,60.8783,1.69719,3.29106,1.22006,0.24677,0.3109,0.17352,0.09791,1.63127,2.47999,1.25865,0.0011,0.0011,0.0011
5,76.0197,1.71333,2.96564,1.24762,0.29206,0.25982,0.17071,0.09364,1.67433,3.03928,1.295,0.00109633,0.00109633,0.00109633
6,91.3904,1.69163,2.74182,1.23313,0.32994,0.31452,0.25662,0.14107,1.59492,2.31519,1.26406,0.00109267,0.00109267,0.00109267
7,106.858,1.6937,2.49319,1.23264,0.27628,0.32866,0.23555,0.13195,1.55963,2.47901,1.23242,0.001089,0.001089,0.001089
8,122.115,1.65746,2.35556,1.20037,0.26087,0.33424,0.22363,0.12365,1.51018,2.22795,1.20952,0.00108534,0.00108534,0.00108534
9,137.592,1.63102,2.37709,1.2034,0.32729,0.34506,0.26355,0.15058,1.49237,2.27591,1.20083,0.00108167,0.00108167,0.00108167
10,152.944,1.60288,2.19408,1.17536,0.33459,0.32982,0.25438,0.1496,1.46533,2.23064,1.17891,0.001078,0.001078,0.001078
11,168.475,1.6119,2.22377,1.19923,0.35832,0.31808,0.28467,0.17081,1.43674,2.34085,1.19246,0.00107434,0.00107434,0.00107434
12,182.904,1.57321,2.15619,1.18884,0.34126,0.32642,0.26845,0.15788,1.45357,2.44157,1.17079,0.00107067,0.00107067,0.00107067
13,198.018,1.55719,2.02285,1.17652,0.4149,0.31409,0.30802,0.18309,1.48558,1.91587,1.17227,0.001067,0.001067,0.001067
14,213.015,1.55494,1.99222,1.16285,0.38379,0.34569,0.29474,0.17226,1.54248,2.15699,1.22283,0.00106334,0.00106334,0.00106334
15,228.507,1.55522,1.9928,1.17743,0.39532,0.35547,0.30535,0.18095,1.44021,2.07799,1.15856,0.00105967,0.00105967,0.00105967
16,243.637,1.53013,1.88687,1.16144,0.37402,0.3404,0.3018,0.15833,1.58614,2.07231,1.19807,0.00105601,0.00105601,0.00105601
17,259.329,1.56824,1.91047,1.15144,0.37366,0.34998,0.32037,0.19147,1.47685,1.85933,1.17909,0.00105234,0.00105234,0.00105234
18,274.611,1.50302,1.80729,1.15657,0.36509,0.36417,0.3144,0.19074,1.39909,1.94352,1.14966,0.00104867,0.00104867,0.00104867
19,290.28,1.53448,1.83497,1.15814,0.47247,0.32559,0.32281,0.19167,1.45549,2.00718,1.17678,0.00104501,0.00104501,0.00104501
20,305.181,1.45081,1.7638,1.12833,0.44223,0.33195,0.33678,0.19558,1.4156,1.82975,1.14845,0.00104134,0.00104134,0.00104134
21,320.98,1.51055,1.76497,1.12841,0.51338,0.3379,0.33324,0.20139,1.40395,2.17745,1.15013,0.00103767,0.00103767,0.00103767
22,335.895,1.51074,1.77834,1.11741,0.3953,0.36555,0.31561,0.1687,1.54229,2.02458,1.18243,0.00103401,0.00103401,0.00103401
