epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9315,1.72988,5.24722,1.24205,0.41116,0.06435,0.06898,0.03884,1.51074,4.10204,1.15912,0.000367113,0.000367113,0.000367113
2,56.5597,1.81481,4.29517,1.25891,0.15157,0.2392,0.10534,0.05735,1.67779,3.1332,1.21051,0.000735013,0.000735013,0.000735013
3,72.0897,1.80785,3.99556,1.28308,0.30132,0.19265,0.14168,0.07538,1.66289,2.64933,1.25603,0.00110047,0.00110047,0.00110047
4,87.3707,1.84463,3.63819,1.31262,0.1917,0.26335,0.12748,0.06621,1.71054,3.33082,1.29578,0.0011,0.0011,0.0011
5,102.579,1.76957,3.14229,1.29795,0.24175,0.25348,0.18075,0.09769,1.62875,2.37982,1.28811,0.00109633,0.00109633,0.00109633
6,117.916,1.75902,2.98139,1.283,0.23524,0.28318,0.19296,0.11019,1.63691,2.50494,1.25911,0.00109267,0.00109267,0.00109267
7,133.237,1.74464,2.79858,1.25633,0.32327,0.29247,0.2395,0.12953,1.58883,2.26756,1.25656,0.001089,0.001089,0.001089
8,148.71,1.69174,2.5593,1.25181,0.24544,0.31889,0.23055,0.12344,1.60619,2.18958,1.23724,0.00108534,0.00108534,0.00108534
9,164.193,1.71914,2.58794,1.26958,0.26563,0.25206,0.20418,0.11471,1.59581,2.55854,1.25615,0.00108167,0.00108167,0.00108167
10,179.755,1.67532,2.44663,1.23389,0.3973,0.31287,0.24687,0.1235,1.61129,2.22833,1.25074,0.001078,0.001078,0.001078
11,194.897,1.6502,2.47039,1.23913,0.32708,0.31743,0.27737,0.15293,1.61136,2.15469,1.2453,0.00107434,0.00107434,0.00107434
12,210.147,1.64193,2.33433,1.24254,0.314,0.37115,0.25411,0.14663,1.53223,2.20686,1.22049,0.00107067,0.00107067,0.00107067
13,225.719,1.66399,2.35049,1.25353,0.41411,0.35898,0.2807,0.16025,1.48759,2.08639,1.21038,0.001067,0.001067,0.001067
14,241.035,1.63368,2.19655,1.23048,0.32129,0.32985,0.25251,0.14297,1.51216,2.0462,1.20854,0.00106334,0.00106334,0.00106334
15,256.539,1.60607,2.17034,1.22313,0.39145,0.36119,0.29303,0.16065,1.55657,2.15162,1.2164,0.00105967,0.00105967,0.00105967
16,271.729,1.61411,2.09843,1.21875,0.43288,0.3435,0.30012,0.16925,1.53424,1.92743,1.21665,0.00105601,0.00105601,0.00105601
17,287.253,1.59659,2.08881,1.22427,0.38709,0.33411,0.27745,0.15901,1.49141,2.02369,1.19646,0.00105234,0.00105234,0.00105234
18,302.615,1.56264,2.13648,1.20082,0.34816,0.40432,0.31448,0.17656,1.49283,1.8883,1.17666,0.00104867,0.00104867,0.00104867
19,317.84,1.60152,2.02738,1.20082,0.38003,0.35176,0.30019,0.17281,1.52188,1.94994,1.1845,0.00104501,0.00104501,0.00104501
20,332.996,1.56031,2.00348,1.19347,0.38961,0.38728,0.33052,0.19048,1.47603,1.8348,1.19021,0.00104134,0.00104134,0.00104134
21,348.267,1.55638,1.99358,1.18112,0.40397,0.3741,0.30966,0.17746,1.52238,2.03601,1.19738,0.00103767,0.00103767,0.00103767
22,363.471,1.58582,2.003,1.18205,0.35438,0.37383,0.2989,0.17484,1.50485,2.06711,1.21821,0.00103401,0.00103401,0.00103401
23,378.866,1.54933,2.00197,1.17398,0.46232,0.36904,0.34418,0.19804,1.48697,1.93483,1.17947,0.00103034,0.00103034,0.00103034
24,394.349,1.56277,1.9613,1.18682,0.42088,0.38401,0.35746,0.19892,1.48602,1.92721,1.17389,0.00102668,0.00102668,0.00102668
25,409.933,1.53232,1.87469,1.15062,0.5036,0.36874,0.34871,0.19523,1.5058,1.90101,1.18897,0.00102301,0.00102301,0.00102301
