name,items,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
0609,640/无背景+YOLOv8n,0.50964,0.38320,0.38334,0.22899
062401,640/无背景+YOLOv8s,0.67121,0.43367,0.46402,0.27925
062504,640/无背景+YOLO11n,0.63377,0.38448,0.42058,0.24333
062505,640/无背景+YOLO11s,0.62095,0.40052,0.43107,0.26882
060902,960/无背景+YOLOv8n,0.54428,0.47323,0.46238,0.28962
062501,960/无背景+YOLOv8s,0.65325,0.49482,0.51697,0.34082
062501-1,960/无背景+YOLO11n,0.60118,0.45229,0.47042,0.29875
062503,960/无背景+YOLO11s,0.72545,0.45424,0.51258,0.33017
,,,,,
060903,640/有背景+YOLOv8n,0.53065,0.41655,0.4014,0.23619
060904,960/有背景+YOLOv8n,0.62094,0.47475,0.47909,0.29171
062305,960/有背景/+YOLOv8s,0.68655,0.45000,0.49165,0.31867
060905,960/有背景/+优化+YOLOv8n,0.66553,0.44168,0.48510,0.30825
062301,960/有背景/+优化+YOLOv8s,0.72968,0.48586,0.53523,0.34531
062306,960/有背景/+yolo11n,0.60059,0.46146,0.46741,0.29617
060906,960/有背景/+优化+yolo11n,0.59469,0.45321,0.47005,0.29258
062304,960/有背景/+YOLO11s,0.65995,0.49179,0.49622,0.31567
062303,960/有背景/+优化+YOLO11s,0.66650,0.46088,0.50856,0.32035
060909,改成p2检测头,0.71973,0.40238,0.48024,0.29691
,,,,,
062301,960/有背景/+优化+YOLOv8s,0.72968,0.48586,0.53523,0.34531
062301,960/有背景/+优化+YOLOv8s+NMS,0.68798,0.52396,0.56116,0.36216
